Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Stitini, O., Kaloun, S., Bencharef, O.","57222405842;8893478400;55638821100;","The Recommendation of a Practical Guide for Doctoral Students Using Recommendation System Algorithms in the Education Field",2021,"Lecture Notes in Networks and Systems","183",,,"240","254",,,"10.1007/978-3-030-66840-2_19","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102611370&doi=10.1007%2f978-3-030-66840-2_19&partnerID=40&md5=346cf3434e7d59c7a78e4f4744acf9cf",Conference Paper,"Final","",Scopus,2-s2.0-85102611370
"Choudhury, A.","57209162815;","Predicting cancer using supervised machine learning: Mesothelioma",2021,"Technology and Health Care","29","1",,"45","58",,,"10.3233/THC-202237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100314358&doi=10.3233%2fTHC-202237&partnerID=40&md5=b0d63e18f8670d1de3f81b4a9beed134",Article,"Final","",Scopus,2-s2.0-85100314358
"Garg, H.S., Jain, V., Chaudhary, G.","57218281129;57209522515;57189576936;","The Curious Case of Modified Merge Sort",2021,"Advances in Intelligent Systems and Computing","1164",,,"481","487",,,"10.1007/978-981-15-4992-2_45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088590546&doi=10.1007%2f978-981-15-4992-2_45&partnerID=40&md5=cc3f92df4a5079b4b6fe0ba9de451a76",Conference Paper,"Final","",Scopus,2-s2.0-85088590546
"Lu, Z., Nam, I.","57221996754;57222000299;","Research on the Influence of New Media Technology on Internet Short Video Content Production under Artificial Intelligence Background",2021,"Complexity","2021",, 8875700,"","",,,"10.1155/2021/8875700","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100909272&doi=10.1155%2f2021%2f8875700&partnerID=40&md5=bf0f01d1262d0609a2d122a7c514ad45",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85100909272
"Liu, W., Zhao, C.","57209101356;57199830125;","ETM: Effective Tuning Method based on Multi-objective and Knowledge Transfer in Image Recognition",2021,"IEEE Access",,,,"","",,,"10.1109/ACCESS.2021.3062366","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101850774&doi=10.1109%2fACCESS.2021.3062366&partnerID=40&md5=1ccff8a5815bedfba2c07dc24f1f18ad",Article,"Article in Press","All Open Access, Gold",Scopus,2-s2.0-85101850774
"Tang, K., Liu, S., Yang, P., Yao, X.","57218696486;57188809104;56403722600;57201921800;","Few-shots Parallel Algorithm Portfolio Construction via Co-evolution",2021,"IEEE Transactions on Evolutionary Computation",,,,"","",,,"10.1109/TEVC.2021.3059661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100923940&doi=10.1109%2fTEVC.2021.3059661&partnerID=40&md5=13c07877b17d8f57b45e0e77f9a10b87",Article,"Article in Press","All Open Access, Bronze, Green",Scopus,2-s2.0-85100923940
"Kazikova, A., Pluhacek, M., Senkerik, R.","57202322367;55445026800;23975048900;","How Does the Number of Objective Function Evaluations Impact Our Understanding of Metaheuristics Behavior?",2021,"IEEE Access",,,,"","",,,"10.1109/ACCESS.2021.3066135","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103153853&doi=10.1109%2fACCESS.2021.3066135&partnerID=40&md5=55bf7831ed3acd2c94d8138758ffa16c",Article,"Article in Press","",Scopus,2-s2.0-85103153853
"Gopagoni, D.R., Lakshmi, P.V., Siripurapu, P.","57215593665;37077395200;57219424668;","Predicting the Sales Conversion Rate of Car Insurance Promotional Calls",2021,"Advances in Intelligent Systems and Computing","1187",,,"321","329",,,"10.1007/978-981-15-6014-9_37","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092638058&doi=10.1007%2f978-981-15-6014-9_37&partnerID=40&md5=8f7bcf4791db572fb54eaf6a1f6cee4e",Conference Paper,"Final","",Scopus,2-s2.0-85092638058
"Balcıoğlu, H.E., Seçkin, A.Ç.","55751867400;57103461800;","Comparison of machine learning methods and finite element analysis on the fracture behavior of polymer composites",2021,"Archive of Applied Mechanics","91","1",,"223","239",,,"10.1007/s00419-020-01765-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090459636&doi=10.1007%2fs00419-020-01765-5&partnerID=40&md5=5a0647e7a56cdb631f732592775cf42e",Article,"Final","",Scopus,2-s2.0-85090459636
"Eyler Dang, L., Hubbard, A., Dissak-Delon, F.N., Chichom Mefire, A., Juillard, C.","57221328800;57219106498;56912269900;12788289900;55965988800;","Right population, right resources, right algorithm: Using machine learning efficiently and effectively in surgical systems where data are a limited resource",2021,"Surgery (United States)",,,,"","",,,"10.1016/j.surg.2020.11.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098876064&doi=10.1016%2fj.surg.2020.11.043&partnerID=40&md5=77379eb3d56d7ed3e9b6c2a6896972d8",Article,"Article in Press","",Scopus,2-s2.0-85098876064
"Marques, J.A.L., Gois, F.N.B., Xavier-Neto, J., Fong, S.J.","57196897667;57220176589;6602992492;7102256353;","Artificial Intelligence Prediction for the COVID-19 Data Based on LSTM Neural Networks and H2O AutoML",2021,"SpringerBriefs in Applied Sciences and Technology",,,,"69","87",,,"10.1007/978-3-030-61913-8_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097175872&doi=10.1007%2f978-3-030-61913-8_5&partnerID=40&md5=f634b9cbb490b7279db005c9a592971f",Book Chapter,"Final","All Open Access, Bronze",Scopus,2-s2.0-85097175872
"Szymkowski, M., Milewski, P., Saeed, K.","57191262204;57218449610;35183998800;","Fingerprint and Keystroke Dynamics Fusion in Multimodal Biometrics System",2021,"Advances in Intelligent Systems and Computing","1178",,,"67","82",,,"10.1007/978-981-15-5747-7_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089243588&doi=10.1007%2f978-981-15-5747-7_5&partnerID=40&md5=a1551f4fa1a067e12b39505925bb09d7",Conference Paper,"Final","",Scopus,2-s2.0-85089243588
"Yang, W.","56005881100;","API Parameter Recommendations Made Effective",2020,"Proceedings - Companion of the 2020 IEEE 20th International Conference on Software Quality, Reliability, and Security, QRS-C 2020",,, 9282618,"676","677",,,"10.1109/QRS-C51114.2020.00116","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099333665&doi=10.1109%2fQRS-C51114.2020.00116&partnerID=40&md5=8c4edf53e8ad2f7733053a958d009e7c",Conference Paper,"Final","",Scopus,2-s2.0-85099333665
"Eftimov, T., Popovski, G., Renau, Q., Korosec, P., Doerr, C.","56178012800;56121099800;57215307853;35734181400;55827803400;","Linear Matrix Factorization Embeddings for Single-objective Optimization Landscapes",2020,"2020 IEEE Symposium Series on Computational Intelligence, SSCI 2020",,, 9308180,"775","782",,,"10.1109/SSCI47803.2020.9308180","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099701050&doi=10.1109%2fSSCI47803.2020.9308180&partnerID=40&md5=24a7eae1f204348b006f3920fccf7fdb",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85099701050
"Alshammari, A., Rezgui, A.","57213519046;6603345949;","Better Edges not Bigger Graphs: An Interaction-Driven Friendship Recommender Algorithm for Social Networks",2020,"Proceedings of 2020 5th International Conference on Cloud Computing and Artificial Intelligence: Technologies and Applications, CloudTech 2020",,, 9365918,"","",,,"10.1109/CloudTech49835.2020.9365918","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102631518&doi=10.1109%2fCloudTech49835.2020.9365918&partnerID=40&md5=4cff2f07c65e327bd43598718e97f19e",Conference Paper,"Final","",Scopus,2-s2.0-85102631518
"Huerta, I.I., Neira, D.A., Ortega, D.A., Varas, V., Godoy, J., Asín-Achá, R.","57217176963;57216312125;57217175411;57217175691;55567072800;57212263296;","Anytime automatic algorithm selection for knapsack",2020,"Expert Systems with Applications","158",, 113613,"","",,1,"10.1016/j.eswa.2020.113613","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086632749&doi=10.1016%2fj.eswa.2020.113613&partnerID=40&md5=f9ef52a1117c44bd47dac93169da09d8",Article,"Final","",Scopus,2-s2.0-85086632749
"Batista Dos Santos, V., Merschmann, L.H.D.C.","57219873209;57218888774;","Metalearning applied to multi-label text classification",2020,"ACM International Conference Proceeding Series",,, 3411646,"","",,,"10.1145/3411564.3411646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095833827&doi=10.1145%2f3411564.3411646&partnerID=40&md5=e0d65c7920b8cc7cb8bf85c777a01f21",Conference Paper,"Final","",Scopus,2-s2.0-85095833827
"Poulakis, Y., Doulkeridis, C., Kyriazis, D.","57221994671;15042243500;16301182100;","AutoClust: A framework for automated clustering based on cluster validity indices",2020,"Proceedings - IEEE International Conference on Data Mining, ICDM","2020-November",, 9338346,"1220","1225",,,"10.1109/ICDM50108.2020.00153","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100879464&doi=10.1109%2fICDM50108.2020.00153&partnerID=40&md5=ed4cb2a1cbd19749ab5c0615ef4bf2aa",Conference Paper,"Final","",Scopus,2-s2.0-85100879464
"Szczepanski, N., Mousin, L., Veerapen, N., Jourdan, L.","56940675400;56565590800;55329320500;6603180053;","Automatic Configuration of Multi-Thread Local Search: Preliminary Results on Bi-objective TSP",2020,"Proceedings - International Conference on Tools with Artificial Intelligence, ICTAI","2020-November",, 9288243,"1241","1248",,,"10.1109/ICTAI50040.2020.00187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098774895&doi=10.1109%2fICTAI50040.2020.00187&partnerID=40&md5=d7702fcb1ae6221a610d47e78addb1be",Conference Paper,"Final","",Scopus,2-s2.0-85098774895
"Elrahman, A.A., El Helw, M., Elshawi, R., Sakr, S.","57216688465;55545967500;56507337800;25031688900;","D-SmartML: A distributed automated machine learning framework",2020,"Proceedings - International Conference on Distributed Computing Systems","2020-November",, 9355660,"1215","1218",,,"10.1109/ICDCS47774.2020.00115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101954841&doi=10.1109%2fICDCS47774.2020.00115&partnerID=40&md5=49af42060b1b605e4415214688cd6190",Conference Paper,"Final","",Scopus,2-s2.0-85101954841
"Yu, A.C., Eng, J.","56643833400;7102461376;","One algorithm may not fit all: How selection bias affects machine learning performance",2020,"Radiographics","40","7",,"1932","1937",,,"10.1148/rg.2020200040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094944253&doi=10.1148%2frg.2020200040&partnerID=40&md5=4bc1bf198ffb49898f06831b693bc133",Article,"Final","",Scopus,2-s2.0-85094944253
"Pereira, T.S., Cunha, T., Soares, C.","57222085384;56450392400;13908004500;","μ-cf2vec: Representation Learning for Personalized Algorithm Selection in Recommender Systems",2020,"IEEE International Conference on Data Mining Workshops, ICDMW","2020-November",, 9346551,"181","188",,,"10.1109/ICDMW51313.2020.00034","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101348069&doi=10.1109%2fICDMW51313.2020.00034&partnerID=40&md5=78b353ab5eeb204eb98c09ea364e5e5d",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85101348069
"Liu, Y., Yao, L., Jing, W., Di, L., Yang, J., Li, Y.","57195470668;53980804700;56875191100;7006684098;56899165700;56908591900;","Comparison of two satellite-based soil moisture reconstruction algorithms: A case study in the state of Oklahoma, USA",2020,"Journal of Hydrology","590",, 125406,"","",,2,"10.1016/j.jhydrol.2020.125406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089511704&doi=10.1016%2fj.jhydrol.2020.125406&partnerID=40&md5=daf74c96efc6bb23ca88e1eb168359ad",Article,"Final","",Scopus,2-s2.0-85089511704
"Gunjal, S.N., Yadav, S.K., Kshirsagar, D.B.","57221606744;57206513025;56045774100;","A hybrid scalable collaborative filtering based recommendation system using ontology and incremental SVD algorithm",2020,"Proceedings of the 2020 International Conference on Smart Innovations in Design, Environment, Management, Planning and Computing, ICSIDEMPC 2020",,, 9299604,"39","45",,,"10.1109/ICSIDEMPC49020.2020.9299604","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099539363&doi=10.1109%2fICSIDEMPC49020.2020.9299604&partnerID=40&md5=c925414148e53a58dbf257540e7dad40",Conference Paper,"Final","",Scopus,2-s2.0-85099539363
"Drozdov, G., Zabashta, A., Filchenkov, A.","57221389345;56902663900;55507568200;","Graph Convolutional Network Based Generative Adversarial Networks for the Algorithm Selection Problem in Classification",2020,"ACM International Conference Proceeding Series",,,,"88","92",,,"10.1145/3437802.3437818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099056625&doi=10.1145%2f3437802.3437818&partnerID=40&md5=43a2a463d637553e031005189886d8a8",Conference Paper,"Final","",Scopus,2-s2.0-85099056625
"Muravyov, S., Filchenkov, A.","57194035005;55507568200;","A Cloud-based Network of 3D Objects for Robust Grasp Planning",2020,"ACM International Conference Proceeding Series",,,,"99","105",,,"10.1145/3437802.3437820","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099025826&doi=10.1145%2f3437802.3437820&partnerID=40&md5=1b252b2c0df3442a2a98c3fc2bf16016",Conference Paper,"Final","",Scopus,2-s2.0-85099025826
"Han, J., Park, K.S., Lee, K.M.","57215360884;57204718048;56996411200;","An Automated Machine Learning Platform for Non-experts",2020,"ACM International Conference Proceeding Series",,,,"84","86",,,"10.1145/3400286.3418276","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097398113&doi=10.1145%2f3400286.3418276&partnerID=40&md5=d19a57b934fb2bb4854844728ebf6c62",Conference Paper,"Final","",Scopus,2-s2.0-85097398113
"Floegel, D.","57200314706;","Labor, classification and productions of culture on Netflix",2020,"Journal of Documentation","77","1",,"209","228",,,"10.1108/JD-06-2020-0108","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092525020&doi=10.1108%2fJD-06-2020-0108&partnerID=40&md5=ccb0c18e6b36732291210f6013043abe",Article,"Final","",Scopus,2-s2.0-85092525020
"Kapgate, E.K., Kannan, R., Harshvardhan, A.V., Singh, A., Ahuja, N.","57220039560;57220026509;57220030014;57220036691;57215135808;","Online product recommendation engine",2020,"2020 IEEE International Conference on Computing, Power and Communication Technologies, GUCON 2020",,, 9231069,"257","260",,,"10.1109/GUCON48875.2020.9231069","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096564034&doi=10.1109%2fGUCON48875.2020.9231069&partnerID=40&md5=f18d02c6248b4661290466ea153a2849",Conference Paper,"Final","",Scopus,2-s2.0-85096564034
"Moussa, C., Calandra, H., Dunjko, V.","57208178336;6507881785;54408358500;","To quantum or not to quantum: Towards algorithm selection in near-term quantum optimization",2020,"Quantum Science and Technology","5","4", 044009,"","",,,"10.1088/2058-9565/abb8e5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094947108&doi=10.1088%2f2058-9565%2fabb8e5&partnerID=40&md5=4f9fe267fad0ac42aea701c59e000457",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85094947108
"Itri, B., Mohamed, Y., Omar, B., Mohamed, Q.","57215312828;57193025881;57193059166;57222112500;","Empirical oversampling threshold strategy for machine learning performance optimisation in insurance fraud detection",2020,"International Journal of Advanced Computer Science and Applications","11","10",,"432","437",,,"10.14569/IJACSA.2020.0111054","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101431396&doi=10.14569%2fIJACSA.2020.0111054&partnerID=40&md5=8a1da4e1df78cf1b5bba5550f4a44ded",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85101431396
"Pfau, M., Walther, G., von der Emde, L., Berens, P., Faes, L., Fleckenstein, M., Heeren, T.F.C., Kortüm, K., Künzel, S.H., Müller, P.L., Maloca, P.M., Waldstein, S.M., Wintergerst, M.W.M., Schmitz-Valckenberg, S., Finger, R.P., Holz, F.G.","56110244700;7006897586;57205739075;27267498000;56600218500;23979991600;55555386500;55514850700;57211958946;17346864200;6507518152;54396573100;56324659500;6507005629;25926257600;57204866202;","Artificial intelligence in ophthalmology: Guidelines for physicians for the critical evaluation of studies [Künstliche Intelligenz in der Augenheilkunde: Leitfaden für Ärzte zur kritischen Bewertung von Studien]",2020,"Ophthalmologe","117","10",,"973","988",,3,"10.1007/s00347-020-01209-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089974331&doi=10.1007%2fs00347-020-01209-z&partnerID=40&md5=d4b39fcb997de293f6b87eea1ed8a43c",Review,"Final","",Scopus,2-s2.0-85089974331
"Sedighi Maman, Z., Chen, Y.-J., Baghdadi, A., Lombardo, S., Cavuoto, L.A., Megahed, F.M.","57189853736;56269023600;57192687807;57216503281;55322327400;35318316800;","A data analytic framework for physical fatigue management using wearable sensors",2020,"Expert Systems with Applications","155",, 113405,"","",,7,"10.1016/j.eswa.2020.113405","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85083727782&doi=10.1016%2fj.eswa.2020.113405&partnerID=40&md5=97f001fcdc65deef690b53911efc5041",Article,"Final","",Scopus,2-s2.0-85083727782
"Quemy, A.","56560057300;","Two-stage optimization for machine learning workflow",2020,"Information Systems","92",, 101483,"","",,1,"10.1016/j.is.2019.101483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85076523192&doi=10.1016%2fj.is.2019.101483&partnerID=40&md5=30e1cffa95b24fec7d94bf2bdf215ebc",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85076523192
"Hunold, S., Bhatele, A., Bosilca, G., Knees, P.","8844073100;21742123400;9274776400;8219023200;","Predicting MPI Collective Communication Performance Using Machine Learning",2020,"Proceedings - IEEE International Conference on Cluster Computing, ICCC","2020-September",, 9229603,"259","269",,1,"10.1109/CLUSTER49012.2020.00036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096207918&doi=10.1109%2fCLUSTER49012.2020.00036&partnerID=40&md5=7fc93cddd21715926bde8ace13ff066e",Conference Paper,"Final","",Scopus,2-s2.0-85096207918
"Brown, C.H.","55546466900;","Three Flavorings for a Soup to Cure what Ails Mental Health Services",2020,"Administration and Policy in Mental Health and Mental Health Services Research","47","5",,"844","851",,1,"10.1007/s10488-020-01060-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088651806&doi=10.1007%2fs10488-020-01060-z&partnerID=40&md5=04e8b8c34fede29996971e989936bcc6",Note,"Final","",Scopus,2-s2.0-85088651806
"Ren, X., Mi, Z., Georgopoulos, P.G.","56374175500;56465451200;7005494479;","Comparison of Machine Learning and Land Use Regression for fine scale spatiotemporal estimation of ambient air pollution: Modeling ozone concentrations across the contiguous United States",2020,"Environment International","142",, 105827,"","",,7,"10.1016/j.envint.2020.105827","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086853689&doi=10.1016%2fj.envint.2020.105827&partnerID=40&md5=fa2d9581bce854f16b32c7d7e3c31bdb",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85086853689
"Biedenkapp, A., Bozkurt, H.F., Eimer, T., Hutter, F., Lindauer, M.","57195955636;57220377531;57219224145;55931808800;56032621900;","Dynamic algorithm configuration: Foundation of a new meta-algorithmic framework",2020,"Frontiers in Artificial Intelligence and Applications","325",,,"427","434",,1,"10.3233/FAIA200122","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091309770&doi=10.3233%2fFAIA200122&partnerID=40&md5=1ff6f78ba84f4f8161b8bfb5bdcd78c6",Conference Paper,"Final","",Scopus,2-s2.0-85091309770
"Joshi, U., Jacobs, C., Urbani, J.","57196464903;7202178886;35754071900;","Rewrite or not rewrite ml- ased algorithm selection for datalog query answering on knowledge graphs",2020,"Frontiers in Artificial Intelligence and Applications","325",,,"792","799",,,"10.3233/FAIA200168","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091779502&doi=10.3233%2fFAIA200168&partnerID=40&md5=723e862a6bcd736952b0c62314df2adb",Conference Paper,"Final","",Scopus,2-s2.0-85091779502
"Umamahesan, A., Babu, D.M.I.","57218844905;57218843954;","From Zero to AI Hero with Automated Machine Learning",2020,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",,,,"3495","",,,"10.1145/3394486.3406697","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090416388&doi=10.1145%2f3394486.3406697&partnerID=40&md5=542e48844e0474d7afe0ea08fd80936c",Conference Paper,"Final","",Scopus,2-s2.0-85090416388
"Mehrotra, R., Carterette, B., Li, Y., Yao, Q., Gao, C., Kwok, J., Yang, Q., Guyon, I.","55522733300;6507636450;57189401839;57002177700;57198890200;57220877606;57201354715;6603114322;","Advances in Recommender Systems: From Multi-stakeholder Marketplaces to Automated RecSys",2020,"Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining",,,,"3533","3534",,1,"10.1145/3394486.3406463","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090411350&doi=10.1145%2f3394486.3406463&partnerID=40&md5=0e24c340bc78f2e62878550f0e8f9322",Conference Paper,"Final","",Scopus,2-s2.0-85090411350
"Abualigah, L.","57190984712;","Multi-verse optimizer algorithm: a comprehensive survey of its results, variants, and applications",2020,"Neural Computing and Applications","32","16",,"12381","12401",,72,"10.1007/s00521-020-04839-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85082670348&doi=10.1007%2fs00521-020-04839-1&partnerID=40&md5=06813372c4d7438449909113f941a3e4",Review,"Final","",Scopus,2-s2.0-85082670348
"Chalé, M., Bastian, N.D., Weir, J.","57219269286;36612763700;7102577951;","Algorithm selection framework for cyber attack detection",2020,"WiseML 2020 - Proceedings of the 2nd ACM Workshop on Wireless Security and Machine Learning",,,,"37","42",,,"10.1145/3395352.3402623","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091983034&doi=10.1145%2f3395352.3402623&partnerID=40&md5=de81863ce7dd5e0f4ccda89dab93a718",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85091983034
"Anastacio, M., Hoos, H.H.","57218599215;6701843335;","Combining sequential model-based algorithm configuration with default-guided probabilistic sampling",2020,"GECCO 2020 Companion - Proceedings of the 2020 Genetic and Evolutionary Computation Conference Companion",,,,"301","302",,,"10.1145/3377929.3389999","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089755395&doi=10.1145%2f3377929.3389999&partnerID=40&md5=32c186977fa6f65af53d14a775c5901a",Conference Paper,"Final","",Scopus,2-s2.0-85089755395
"Atkinson, L., Müller-Bady, R., Kappes, M.","57195301433;57218602192;7005599573;","Hybrid bayesian evolutionary optimization for hyperparameter tuning",2020,"GECCO 2020 Companion - Proceedings of the 2020 Genetic and Evolutionary Computation Conference Companion",,,,"225","226",,,"10.1145/3377929.3389952","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089726567&doi=10.1145%2f3377929.3389952&partnerID=40&md5=726985186acc09ae9071aefbd6fd4dec",Conference Paper,"Final","",Scopus,2-s2.0-85089726567
