Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Document Type,Publication Stage,Open Access,Source,EID
"Hay Chung L.C., Xie J., Ren C.","57224483940;57207417856;36931090200;","Improved machine-learning mapping of local climate zones in metropolitan areas using composite Earth observation data in Google Earth Engine",2021,"Building and Environment","199",,"107879","","",,15,"10.1016/j.buildenv.2021.107879","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107638523&doi=10.1016%2fj.buildenv.2021.107879&partnerID=40&md5=f4e82d1c89e1f06f5a0d391cc78734eb","Accurate, large-scale local climate zone (LCZ) maps with data consistency are crucial for urban environmental studies globally. However, current approaches using Earth observation data and machine learning (ML) algorithms with local computation power are limited by low accuracy, coverage, and efficiency. Here, we present an improved workflow for generating consistent large-scale LCZ maps based on optimal data and ML algorithm selection using the Google Earth Engine (GEE) platform. Twelve data-composition scenarios and one optimized scenario were designed to explore the effects and synergetic use of nine Earth observation datasets, based on their reported potential in pixel-based classification. Our results show that depending on the intended use of the map, the random forest (RF) classifier and support vector machine (SVM) classifier are by far the most appropriate ML algorithms for pixel-based LCZ classification. While the RF classifier achieves a significantly higher overall accuracy and shows advantages in most of the individual classes, the SVM classifier exhibits significantly less variability with regard to accuracy. In addition, the competitive accuracy of the optimized scenario shows that using “elite variables” in the RF classifier can significantly improve classification accuracy while also reducing computational burden. Furthermore, thermal-infrared variables are far more influential than other variables in LCZ classification. Our study is the first attempt to make a cross-comparison of various remote sensing datasets and ML algorithms for LCZ classification using the GEE platform. As such, our results provide valuable new insights, workflows, and future directions for large-scale LCZ classification to support urban environmental studies globally. © 2021 Elsevier Ltd",Article,"Final","",Scopus,2-s2.0-85107638523
"Fellers J., Quevedo J., Abdelatti M., Steinhaus M., Sodhi M.","57226274368;7005800334;57203824445;57188759406;7004463395;","Selecting between evolutionary and classical algorithms for the CVRP using machine learning: Optimization of vehicle routing problems",2021,"GECCO 2021 Companion - Proceedings of the 2021 Genetic and Evolutionary Computation Conference Companion",,,,"127","128",,,"10.1145/3449726.3459459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111004441&doi=10.1145%2f3449726.3459459&partnerID=40&md5=8a5ddd382f29d20b7a99d6ef834625f5","Solutions for NP-hard problems are often obtained using heuristics that yield results relatively quickly, at some cost to the objective. Many different heuristics are usually available for the same problem type, and the solution quality of a heuristic may depend on characteristics of the instance being solved. This paper explores the use of machine learning to predict the best heuristic for solving Capacitated Vehicle Routing Problems (CVRPs). A set of 23 features related to the CVRP were identified from the literature. A large set of CVRP instances were generated across the feature space, and solved using four heuristics including a genetic algorithm and a novel self-organizing map. A neural network was trained to predict the best performing heuristic for a given problem instance. The model correctly selected the best heuristic for 79% of the CVRP test instances, while the single best heuristic was dominant for only 50% of the test instances. © 2021 Owner/Author.",Conference Paper,"Final","",Scopus,2-s2.0-85111004441
"Gijsbers P., Pfisterer F., Van Rijn J.N., Bischl B., Vanschoren J.","57198770524;57194522444;56347016200;23090199300;23394289300;","Meta-learning for symbolic hyperparameter defaults",2021,"GECCO 2021 Companion - Proceedings of the 2021 Genetic and Evolutionary Computation Conference Companion",,,,"151","152",,,"10.1145/3449726.3459532","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111002931&doi=10.1145%2f3449726.3459532&partnerID=40&md5=7dd8d1f74011bb4ce10a71827c3912fb","Hyperparameter optimization in machine learning (ML) deals with the problem of empirically learning an optimal algorithm configuration from data, usually formulated as a black-box optimization problem. In this work, we propose a zero-shot method to meta-learn symbolic default hyperparameter configurations that are expressed in terms of the properties of the dataset. This enables a much faster, but still data-dependent, configuration of the ML algorithm, compared to standard hyperparameter optimization approaches. In the past, symbolic and static default values have usually been obtained as hand-crafted heuristics. We propose an approach of learning such symbolic configurations as formulas of dataset properties from a large set of prior evaluations on multiple datasets by optimizing over a grammar of expressions using an evolutionary algorithm. We evaluate our method on surrogate empirical performance models as well as on real data across 6 ML algorithms on more than 100 datasets and demonstrate that our method indeed finds viable symbolic defaults. © 2021 Owner/Author.",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85111002931
"Li R., Deng Q., Tian D., Zhu D., Lin B.","57212755726;57226018878;55614947000;57221035751;36165916900;","Predicting perovskite performance with multiple machine-learning algorithms",2021,"Crystals","11","7","818","","",,5,"10.3390/cryst11070818","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111166843&doi=10.3390%2fcryst11070818&partnerID=40&md5=ac7142b80bd62abc086df9db7ce169bb","Perovskites have attracted increasing attention because of their excellent physical and chemical properties in various fields, exhibiting a universal formula of ABO3 with matching compatible sizes of A-site and B-site cations. In this work, four different prediction models of machine learning algorithms, including support vector regression based on radial basis kernel function (SVM-RBF), ridge regression (RR), random forest (RF), and back propagation neural network (BPNN), are established to predict the formation energy, thermodynamic stability, crystal volume, and oxygen vacancy formation energy of perovskite materials. Combined with the fitting diagrams of the predicted values and DFT calculated values, the results show that SVM-RBF has a smaller bias in predicting the crystal volume. RR has a smaller bias in predicting the thermodynamic stability. RF has a smaller bias in predicting the formation energy, crystal volume, and thermodynamic stability. BPNN has a smaller bias in predicting the formation energy, thermodynamic stability, crystal volume, and oxygen vacancy formation energy. Obviously, different machine learning algorithms exhibit different sensitivity to data sample distribution, indicating that we should select different algorithms to predict different performance parameters of perovskite materials. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85111166843
"Leenings R., Winter N.R., Plagwitz L., Holstein V., Ernsting J., Sarink K., Fisch L., Steenweg J., Kleine- Vennekate L., Gebker J., Emden D., Grotegerd D., Opel N., Risse B., Jiang X., Dannlowski U., Hahn T.","57201271676;57201273898;57219587409;57219589067;56728137600;57219490962;57222520627;57222522468;57222521630;57222530350;55251290600;37101507600;56124047800;55233492900;7404628260;13806470600;57193454227;","PHOTONAI-A Python API for rapid machine learning model development",2021,"PLoS ONE","16","July","e0254062","","",,2,"10.1371/journal.pone.0254062","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110935560&doi=10.1371%2fjournal.pone.0254062&partnerID=40&md5=cc8df1120218615f5f114b97d1793e3f","PHOTONAI is a high-level Python API designed to simplify and accelerate machine learning model development. It functions as a unifying framework allowing the user to easily access and combine algorithms from different toolboxes into custom algorithm sequences. It is especially designed to support the iterative model development process and automates the repetitive training, hyperparameter optimization and evaluation tasks. Importantly, the workflow ensures unbiased performance estimates while still allowing the user to fully customize the machine learning analysis. PHOTONAI extends existing solutions with a novel pipeline implementation supporting more complex data streams, feature combinations, and algorithm selection. Metrics and results can be conveniently visualized using the PHOTONAI Explorer and predictive models are shareable in a standardized format for further external validation or application. A growing add-on ecosystem allows researchers to offer data modality specific algorithms to the community and enhance machine learning in the areas of the life sciences. Its practical utility is demonstrated on an exemplary medical machine learning problem, achieving a state-of-the-art solution in few lines of code. Source code is publicly available on Github, while examples and documentation can be found at www. photon-ai.com. © 2021 Leenings et al. This is an open access article distributed under the terms of the Creative Commons Attribution License, which permits unrestricted use, distribution, and reproduction in any medium, provided the original author and source are credited.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85110935560
"Li R., Xu A., Sun W., Wang S.","57202595361;57203989932;56434868600;57852575100;","Recommendation method for avionics feature selection algorithm based on meta-learning [基于元学习的航空电子设备特征选择算法推荐方法]",2021,"Xi Tong Gong Cheng Yu Dian Zi Ji Shu/Systems Engineering and Electronics","43","7",,"2011","2020",,,"10.12305/j.issn.1001-506X.2021.07.34","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85109286449&doi=10.12305%2fj.issn.1001-506X.2021.07.34&partnerID=40&md5=0ad8015cfdcfbe289c8c4a85a9542bd9","In order to reduce the test data of avionics effectively and remove redundant information and irrelevant features, based on the existing feature selection algorithms in the field of machine learning, a recommendation method for avionics feature selection algorithm under the meta-learning framework is proposed. The proposed method aims to recommend appropriate feature selection algorithms according to the information contained in the test data of different avionics. Firstly, the description method of data set feature is analyzed. Then, the algorithm performance evaluation method based on the multi-metric index is introduced. Finally, the framework of recommendation method for feature selection algorithm is given. A metadata database is established on 42 avionics data sets and 13 filtering feature selection algorithms, the leave-one-out method is used for cross validation. The recommended hit radio reaches more than 90% and the recommended performance radio reaches more than 97%. © 2021, Editorial Office of Systems Engineering and Electronics. All right reserved.",Article,"Final","",Scopus,2-s2.0-85109286449
"Román-Portabales A., López-Nores M., Pazos-Arias J.J.","57211230644;35614992300;6506851530;","Systematic review of electricity demand forecast using ann-based machine learning algorithms",2021,"Sensors","21","13","4544","","",,3,"10.3390/s21134544","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108966558&doi=10.3390%2fs21134544&partnerID=40&md5=4e08a3f8d49fcb44d66cb8028cc345bb","The forecast of electricity demand has been a recurrent research topic for decades, due to its economical and strategic relevance. Several Machine Learning (ML) techniques have evolved in parallel with the complexity of the electric grid. This paper reviews a wide selection of approaches that have used Artificial Neural Networks (ANN) to forecast electricity demand, aiming to help newcomers and experienced researchers to appraise the common practices and to detect areas where there is room for improvement in the face of the current widespread deployment of smart meters and sensors, which yields an unprecedented amount of data to work with. The review looks at the specific problems tackled by each one of the selected papers, the results attained by their algorithms, and the strategies followed to validate and compare the results. This way, it is possible to highlight some peculiarities and algorithm configurations that seem to consistently outperform others in specific settings. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85108966558
"Varsha P.S., Akter S., Kumar A., Gochhait S., Patagundi B.","57210919302;36058277700;57221101882;57202706369;57223440204;","The Impact of Artificial Intelligence on Branding: A Bibliometric Analysis (1982-2019)",2021,"Journal of Global Information Management","29","4",,"221","246",,8,"10.4018/JGIM.20210701.oa10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105863212&doi=10.4018%2fJGIM.20210701.oa10&partnerID=40&md5=06c5fa32688b1e9c788c4a967a5687e5","Understanding the growth paths of artificial intelligence (AI) and its impact on branding is extremely pertinent of technology-driven marketing. This explorative research covers a complete bibliometric analysis of the impact of AI on branding. The sample for this research included all 117 articles from the period of 1982-2019 in the Scopus database. A bibliometric study was conducted using cooccurrence, citation analysis and co-citation analysis. The empirical analysis investigates the value propositions of AI on branding. The study revealed the nine clusters of co-occurrence: Social Media Analytics and Brand Equity; Neural Networks and Brand Choice; Chat Bots-Brand Intimacy; Twitter, Facebook, Instagram-Luxury Brands; Interactive Agent-Brand Love and User Choice; Algorithm Recommendations and E-Brand Experience; User-Generated Content-Brand Sustainability; Brand Intelligence Analytics; and Digital Innovations and Brand Excellence. The findings also identify four clusters of citation analysis Social Media Analysis and Brand Photos, Network Analysis and E-Commerce, Hybrid Simulating Modelling, and Real-Time Knowledge-Based Systems and four clusters of co-citation analysis: B2B Technology Brands, AI Fostered E-Brands, Information Cascades and Online Brand Ratings, and Voice Assistants-Brand Eureka Moments. Overall, the study presents the patterns of convergence and divergence of themes, narrowing to the specific topic, and multidisciplinary engagement in research, thus offering the recent insights in the field of AI on branding. © 2021 IGI Global. All rights reserved.",Review,"Final","All Open Access, Bronze",Scopus,2-s2.0-85105863212
"Eyler Dang L., Hubbard A., Dissak-Delon F.N., Chichom Mefire A., Juillard C.","57221328800;57219106524;56912269900;12788289900;55965988800;","Right population, right resources, right algorithm: Using machine learning efficiently and effectively in surgical systems where data are a limited resource",2021,"Surgery (United States)","170","1",,"325","328",,2,"10.1016/j.surg.2020.11.043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098876064&doi=10.1016%2fj.surg.2020.11.043&partnerID=40&md5=77379eb3d56d7ed3e9b6c2a6896972d8","There is a growing interest in using machine learning algorithms to support surgical care, diagnostics, and public health surveillance in low- and middle-income countries. From our own experience and the literature, we share several lessons for developing such models in settings where the data necessary for algorithm training and implementation is a limited resource. First, the training cohort should be as similar as possible to the population of interest, and recalibration can be used to improve risk estimates when a model is transported to a new context. Second, algorithms should incorporate existing data sources or data that is easily obtainable by frontline health workers or assistants in order to optimize available resources and facilitate integration into clinical practice. Third, the Super Learner ensemble machine learning algorithm can be used to define the optimal model for a given prediction problem while minimizing bias in the algorithm selection process. By considering the right population, right resources, and right algorithm, researchers can train prediction models that are both context-appropriate and resource-conscious. There remain gaps in data availability, affordable computing capacity, and implementation studies that hinder clinical algorithm development and use in low-resource settings, although these barriers are decreasing over time. We advocate for researchers to create open-source code, apps, and training materials to allow new machine learning models to be adapted to different populations and contexts in order to support surgical providers and health care systems in low- and middle-income countries worldwide. © 2020 Elsevier Inc.",Article,"Final","",Scopus,2-s2.0-85098876064
"De Loera J.A., Haddock J., Ma A., Needell D.","6701387752;57202949794;56810425400;24335767100;","Data-driven algorithm selection and tuning in optimization and signal processing",2021,"Annals of Mathematics and Artificial Intelligence","89","7",,"711","735",,,"10.1007/s10472-020-09717-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096013238&doi=10.1007%2fs10472-020-09717-z&partnerID=40&md5=3b6684d0d06c30307ebc59ab77d16ac6","Machine learning algorithms typically rely on optimization subroutines and are well known to provide very effective outcomes for many types of problems. Here, we flip the reliance and ask the reverse question: can machine learning algorithms lead to more effective outcomes for optimization problems? Our goal is to train machine learning methods to automatically improve the performance of optimization and signal processing algorithms. As a proof of concept, we use our approach to improve two popular data processing subroutines in data science: stochastic gradient descent and greedy methods in compressed sensing. We provide experimental results that demonstrate the answer is “yes”, machine learning algorithms do lead to more effective outcomes for optimization problems, and show the future potential for this research direction. In addition to our experimental work, we prove relevant Probably Approximately Correct (PAC) learning theorems for our problems of interest. More precisely, we show that there exists a learning algorithm that, with high probability, will select the algorithm that optimizes the average performance on an input set of problem instances with a given distribution. © 2020, Springer Nature Switzerland AG.",Article,"Final","",Scopus,2-s2.0-85096013238
"Eftimov T., Jankovic A., Popovski G., Doerr C., Korošec P.","56178012800;57210408871;56121099800;55827803400;35734181400;","Personalizing performance regression models to black-box optimization problems",2021,"GECCO 2021 - Proceedings of the 2021 Genetic and Evolutionary Computation Conference",,,,"669","677",,1,"10.1145/3449639.3459407","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110205544&doi=10.1145%2f3449639.3459407&partnerID=40&md5=5d3ba98964e1078389b9be1ebcc34061","Accurately predicting the performance of different optimization algorithms for previously unseen problem instances is crucial for high-performing algorithm selection and configuration techniques. In the context of numerical optimization, supervised regression approaches built on top of exploratory landscape analysis are becoming very popular. From the point of view of Machine Learning (ML), however, the approaches are often rather naïve, using default regression or classification techniques without proper investigation of the suitability of the ML tools. With this work, we bring to the attention of our community the possibility to personalize regression models to specific types of optimization problems. Instead of aiming for a single model that works well across a whole set of possibly diverse problems, our personalized regression approach acknowledges that different models may suite different types of problems. Going one step further, we also investigate the impact of selecting not a single regression model per problem, but personalized ensembles. We test our approach on predicting the performance of numerical optimization heuristics on the BBOB benchmark collection. © 2021 ACM.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85110205544
"Jankovic A., Popovski G., Eftimov T., Doerr C.","57210408871;56121099800;56178012800;55827803400;","The impact of hyper-parameter tuning for landscape-aware performance regression and algorithm selection",2021,"GECCO 2021 - Proceedings of the 2021 Genetic and Evolutionary Computation Conference",,,,"687","696",,6,"10.1145/3449639.3459406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110061713&doi=10.1145%2f3449639.3459406&partnerID=40&md5=3811abc36fb711c650ac5414495daa85","Automated algorithm selection and configuration methods that build on exploratory landscape analysis (ELA) are becoming very popular in Evolutionary Computation. However, despite a significantly growing number of applications, the underlying machine learning models are often chosen in an ad-hoc manner. We show in this work that three classical regression methods are able to achieve meaningful results for ELA-based algorithm selection. For those three models - random forests, decision trees, and bagging decision trees - the quality of the regression models is highly impacted by the chosen hyper-parameters. This has significant effects also on the quality of the algorithm selectors that are built on top of these regressions. By comparing a total number of 30 different models, each coupled with 2 complementary regression strategies, we derive guidelines for the tuning of the regression models and provide general recommendations for a more systematic use of classical machine learning models in landscape-aware algorithm selection. We point out that a choice of the machine learning model merits to be carefully undertaken and further investigated. © 2021 ACM.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85110061713
"Pontello V., Beckmann H., Lanquillon C.","57337925300;56128714500;24178557600;","Meta-learning approach for implementation of AI methods in the context of CRISP-DM with case studies from master data management",2021,"2021 IEEE International Conference on Engineering, Technology and Innovation, ICE/ITMC 2021 - Proceedings",,,,"","",,,"10.1109/ICE/ITMC52061.2021.9570265","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119068374&doi=10.1109%2fICE%2fITMC52061.2021.9570265&partnerID=40&md5=d59646abe360ea8989e56ca45c09946c","Implementing artificial intelligence (AI) methods is often not a trivial task. Especially for beginners, it is a big challenge to find out a suitable AI method to a certain problem. Moreover, a heuristic approach to algorithm selection is often error-prone and suboptimal. As a solution to this problem, a process model was developed on the basis of a meta-learning approach in the context of CRISP-DM. The model uses a criteria grid to characterize the problem and, based on these characteristics, the process model is able to propose optimal AI methods as possible solutions. The model was evaluated using tasks from master data management and the observed results find support and recognition in the literature. © 2021 IEEE.",Conference Paper,"Final","",Scopus,2-s2.0-85119068374
"Balcan M.-F., Deblasio D., Dick T., Kingsford C., Sandholm T., Vitercik E.","8954993900;35104548000;55921353200;35611336100;57203083791;56829527400;","How much data is sufficient to learn high-performing algorithms? generalization guarantees for data-driven algorithm design",2021,"Proceedings of the Annual ACM Symposium on Theory of Computing",,,,"919","932",,2,"10.1145/3406325.3451036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108164557&doi=10.1145%2f3406325.3451036&partnerID=40&md5=c15bbde576a4c9f5e46034d06ed518bd","Algorithms often have tunable parameters that impact performance metrics such as runtime and solution quality. For many algorithms used in practice, no parameter settings admit meaningful worst-case bounds, so the parameters are made available for the user to tune. Alternatively, parameters may be tuned implicitly within the proof of a worst-case guarantee. Worst-case instances, however, may be rare or nonexistent in practice. A growing body of research has demonstrated that data-driven algorithm design can lead to significant improvements in performance. This approach uses a training set of problem instances sampled from an unknown, application-specific distribution and returns a parameter setting with strong average performance on the training set. We provide a broadly applicable theory for deriving generalization guarantees that bound the difference between the algorithm's average performance over the training set and its expected performance on the unknown distribution. Our results apply no matter how the parameters are tuned, be it via an automated or manual approach. The challenge is that for many types of algorithms, performance is a volatile function of the parameters: slightly perturbing the parameters can cause a large change in behavior. Prior research (e.g., Gupta and Roughgarden, SICOMP'17; Balcan et al., COLT'17, ICML'18, EC'18) has proved generalization bounds by employing case-by-case analyses of greedy algorithms, clustering algorithms, integer programming algorithms, and selling mechanisms. We uncover a unifying structure which we use to prove extremely general guarantees, yet we recover the bounds from prior research. Our guarantees, which are tight up to logarithmic factors in the worst case, apply whenever an algorithm's performance is a piecewise-constant, -linear, or - more generally - piecewise-structured function of its parameters. Our theory also implies novel bounds for voting mechanisms and dynamic programming algorithms from computational biology. © 2021 Owner/Author.",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85108164557
"Niño-Adan I., Landa-Torres I., Manjarres D., Portillo E., Orbe L.","57208834385;39061406000;36602976600;22986390400;57224364864;","Soft-sensor for class prediction of the percentage of pentanes in butane at a debutanizer column",2021,"Sensors","21","12","3991","","",,2,"10.3390/s21123991","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107443358&doi=10.3390%2fs21123991&partnerID=40&md5=ca4bae0f171e3db40b0be98b602935bb","Refineries are complex industrial systems that transform crude oil into more valuable subproducts. Due to the advances in sensors, easily measurable variables are continuously monitored and several data-driven soft-sensors are proposed to control the distillation process and the quality of the resultant subproducts. However, data preprocessing and soft-sensor modelling are still complex and time-consuming tasks that are expected to be automatised in the context of Industry 4.0. Although recently several automated learning (autoML) approaches have been proposed, these rely on model configuration and hyper-parameters optimisation. This paper advances the state-of-the-art by proposing an autoML approach that selects, among different normalisation and feature weighting preprocessing techniques and various well-known Machine Learning (ML) algorithms, the best configuration to create a reliable soft-sensor for the problem at hand. As proven in this research, each normalisation method transforms a given dataset differently, which ultimately affects the ML algorithm performance. The presented autoML approach considers the features preprocessing importance, including it, and the algorithm selection and configuration, as a fundamental stage of the methodology. The proposed autoML approach is applied to real data from a refinery in the Basque Country to create a soft-sensor in order to complement the operators’ decision-making that, based on the operational variables of a distillation process, detects 400 min in advance with 98.925% precision if the resultant product does not reach the quality standards. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85107443358
"Stefana E., Paltrinieri N.","56507524600;6504465608;","ProMetaUS: A proactive meta-learning uncertainty-based framework to select models for Dynamic Risk Management",2021,"Safety Science","138",,"105238","","",,3,"10.1016/j.ssci.2021.105238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102079641&doi=10.1016%2fj.ssci.2021.105238&partnerID=40&md5=b549e99572ea89db98ca8e054eb1683e","Safety managers, practitioners, and researchers can employ different models for estimating and assessing hazards, consequences, likelihoods, risks, and/or mitigation measures in the safety field. The selection of a specific model may depend on the uncertainty associated with its estimation and its impact on the safety-related decision-making process. The recognition of this issue as an example of Algorithm Selection Problem (ASP) allows investigating the applicability of meta-learning principles that are scarcely adopted in the risk and safety literature. Consequently, we propose a novel meta-learning inspired framework to proactively rank a set of candidate models for Dynamic Risk Management (DRM) based on desired uncertainty conditions. We denominate this framework ProMetaUS (Proactive Meta-learning and Uncertainty-based Selection for dynamic risk management). To achieve this purpose, our meta-learning system acquires knowledge that relates the characteristics extracted both directly and indirectly from datasets (e.g. data-based, domain-based, simple and fast uncertainty-based, simple and fast sensitivity-based meta-features) to some performance measures of the models. Performance measures include confidence information, shape measurable quantities, safety decision criteria and threshold limits, and sensitivity analysis outputs. We tested the proposed framework in a case study about Oxygen Deficiency Hazard (ODH) assessment by means of @RISK. For each of the five datasets, single-performance measure rankings and a final ranking of the three models are generated. Such rankings are aggregated to obtain the global recommended ranking. © 2021 The Author(s)",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85102079641
"Tang K., Liu S., Yang P., Yao X.","35389743100;57188809104;56403722600;7402530404;","Few-Shots Parallel Algorithm Portfolio Construction via Co-Evolution",2021,"IEEE Transactions on Evolutionary Computation","25","3","9354852","595","607",,7,"10.1109/TEVC.2021.3059661","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85100923940&doi=10.1109%2fTEVC.2021.3059661&partnerID=40&md5=13c07877b17d8f57b45e0e77f9a10b87","Generalization, i.e., the ability of solving problem instances that are not available during the system design and development phase, is a critical goal for intelligent systems. A typical way to achieve good generalization is to learn a model from vast data. In the context of heuristic search, such a paradigm could be implemented as configuring the parameters of a parallel algorithm portfolio (PAP) based on a set of 'training' problem instances, which is often referred to as PAP construction. However, compared to the traditional machine learning, PAP construction often suffers from the lack of training instances, and the obtained PAPs may fail to generalize well. This article proposes a novel competitive co-evolution scheme, named co-evolution of parameterized search (CEPS), as a remedy to this challenge. By co-evolving a configuration population and an instance population, CEPS is capable of obtaining generalizable PAPs with few training instances. The advantage of CEPS in improving generalization is analytically shown in this article. Two concrete algorithms, namely, CEPS-TSP and CEPS-VRPSPDTW, are presented for the traveling salesman problem (TSP) and the vehicle routing problem with simultaneous pickup-delivery and time windows (VRPSPDTW), respectively. The experimental results show that CEPS has led to better generalization, and even managed to find new best-known solutions for some instances. © 1997-2012 IEEE.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85100923940
"Sheidaeian H., Fatemi O.","36343920000;6701394056;","Toward a general framework for jointly processor-workload empirical modeling",2021,"Journal of Supercomputing","77","6",,"5319","5353",,,"10.1007/s11227-020-03475-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095420219&doi=10.1007%2fs11227-020-03475-9&partnerID=40&md5=d4ec031b09803abaecbd84028c7f9d65","The complexity of state-of-the-art processor architectures and their consequent vast design spaces have made it difficult and time-consuming to explore the best configuration for them. Design space exploration (DSE) refers to systematic analysis and pruning of unwanted design points based on parameters of interest. DSE requires analysis and estimation of performance criteria of design points. A more accurate estimation produces a more efficient target design. A typical estimation method is machine learning approaches based on statistical inference, also known as empirical modeling, which requires only a limited number of simulations. Undoubtedly, an empirical model finds the optima much faster than using cycle-accurate simulations and is much more accurate than employing analytical models. For that purpose, our paper proposes a general methodology and a framework to find an appropriate and most accurate empirical model to estimate the performance of general-purpose or embedded multiprocessors running multithreaded workloads. This framework consists of three main steps: (1) Workload characterization and clustering, (2) Finding optimal model, and (3) Estimating the performance of a new workload outside the training set. These optimal performance prediction models could be utilized in the process of exploring the architectural design space. An experimental case is also tested using this framework for feasibility purposes. Validation experiments show MAEs less than 10% for this case. © 2020, Springer Science+Business Media, LLC, part of Springer Nature.",Article,"Final","",Scopus,2-s2.0-85095420219
"Liu N.","57261696300;","Research on traditional media content distribution platform by technology",2021,"Proceedings - 2021 International Symposium on Artificial Intelligence and its Application on Media, ISAIAM 2021",,,,"184","190",,,"10.1109/ISAIAM53259.2021.00046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115095584&doi=10.1109%2fISAIAM53259.2021.00046&partnerID=40&md5=3714a95e9f99dbe1158b4321202a585e","In the current media living environment, with the rapid development of Internet technology, new media taking the Internet technology Express has become the main way for users to obtain information. At the same time, the traditional media is declining because of the loss of the initiative to control the information channel. What is the development dilemma of traditional media in the new media environment?How can we break through this dilemma?Based on the analysis of the existing problems and development status of traditional media content distribution platform, the author draws the following conclusion that the traditional media can innovate the content distribution platform through four aspects:using algorithm recommendation to change the passive situation of communication platform;Build diversified communication platform to achieve sustainable development;Highlight UGC function of content distribution platform to increase user stickiness;With the help of new media platform to achieve the broken circle effect. © 2021 IEEE.",Conference Paper,"Final","",Scopus,2-s2.0-85115095584
"Wang Q., Jiang J., Zhao Y., Cao W., Wang C., Li S.","57199479507;57218866746;36122020600;57195309486;57237662200;57236553000;","Algorithm selection for software verification based on adversarial LSTM",2021,"Proceedings - 2021 7th IEEE International Conference on Big Data Security on Cloud, IEEE International Conference on High Performance and Smart Computing, and IEEE International Conference on Intelligent Data and Security, BigDataSecurity/HPSC/IDS 2021",,,"9463528","87","92",,1,"10.1109/BigDataSecurityHPSCIDS52275.2021.00026","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113745498&doi=10.1109%2fBigDataSecurityHPSCIDS52275.2021.00026&partnerID=40&md5=ed78e6d37c0602a4b6d2d370f3436962","As a prevalent technique for checking the correctness of software, software verification has achieved a significant progress in the past decades, reaching a point where a large number of verification algorithms and tools are available and sophisticated enough to handle the large-scale industrial software. However, it remains a difficult task to select a suitable verification algorithm or tool for the software at hand, given the fact that the underlying algorithms are diverse and the performance tradeoffs are hard to accurately characterize. In this paper, we study the algorithm selection problem for software verification, and propose a novel algorithm selection model based on the Long Short Term Memory network (LSTM). Our solution employs word2vec to obtain the embedding representation of the code, avoiding constructing the software features manually. We also propose a novel approach to construct the adversarial code examples in order to solve the sparsity and data imbalance problem. The experimental evaluations on the latest available dataset show that our solution improves the prediction accuracy by about 7% compared with the state-of-the-art selection algorithm. © 2021 IEEE.",Conference Paper,"Final","",Scopus,2-s2.0-85113745498
